url,sitemap,robots,meta_title_count,meta_description_count,meta_keywords_count,meta_robots,h1,h2,h3,h4,h5,h6,open_graph,canonical,favicon,google_search_console_connected,jumlah_kata,performance,accessibility,best_practices,seo,structure,accessibility_log,jumlah_kata_log,seo_sqrt,h5_boxcox
https://blibli.com,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,26.0,88.25,93.0,92.0,88.0,4.491441420659749,6.958923565556536,9.591663046625438,0.917486315399732
https://bojonegoro.bojonegorokab.go.id/,1.0,0.0,3.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,473.0,32.484375,79.234375,78.5,89.328125,67.67088607594937,4.384952039002987,6.161207321695077,9.451355722857965,0.0
https://bojonegoro.bojonegorokab.go.id/ ,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,60.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://bukalapak.com,1.0,1.0,9.0,2.0,1.0,0,1.0,4.0,15.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1179.0,42.0,88.25,75.0,92.0,88.0,4.491441420659749,7.07326971745971,9.591663046625438,0.0
https://laku6.com,1.0,1.0,0.0,1.0,1.0,0,1.0,2.0,2.0,13.0,0.0,0.0,1,1.0,1.0,1.0,404.0,45.052734375,73.0,100.0,85.3203125,94.0,4.304065093204169,6.003887067106539,9.236899506869175,0.0
https://main.semarangkab.go.id/,1.0,1.0,3.0,1.0,1.0,1,2.0,0.0,36.0,5.0,0.0,0.0,1,1.0,1.0,1.0,899.0,45.052734375,80.0,75.0,85.3203125,57.0,4.394449154672439,6.802394763324311,9.236899506869175,0.0
https://mothercare.co.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,25.0,83.0,71.0,92.0,75.0,4.430816798843313,6.958923565556536,9.591663046625438,0.917486315399732
https://myhartono.com,1.0,1.0,13.0,11.0,1.0,0,1.0,6.0,27.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,24.0,85.0,89.0,92.0,71.0,4.454347296253507,7.599901959208498,9.591663046625438,0.0
https://orami.co.id,1.0,1.0,5.0,3.0,1.0,1,1.0,0.0,5.0,0.0,0.0,1.0,1,1.0,1.0,1.0,68.0,27.0,87.0,96.0,92.0,83.0,4.477336814478207,4.23410650459726,9.591663046625438,0.0
https://ranchmarket.co.id,1.0,1.0,0.0,3.0,1.0,0,1.0,5.0,10.0,0.0,7.379032258064516,0.0,1,1.0,1.0,1.0,465.0,34.0,76.0,82.0,92.0,71.0,4.343805421853684,6.144185634125646,9.591663046625438,1.1678455571486808
https://rsud.tangerangkota.go.id/,1.0,1.0,2.0,1.0,1.0,0,0.0,10.0,0.0,8.0,7.379032258064516,0.0,1,1.0,1.0,1.0,829.0,21.0,80.0,75.0,92.0,67.67088607594937,4.394449154672439,6.721425700790643,9.591663046625438,1.1678455571486808
https://rsud.tangerangkota.go.id/ ,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,38.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://shopee.co.id,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,6.0,32.484375,79.234375,78.5,89.328125,91.0,4.384952039002987,1.9459101490553132,9.451355722857965,0.0
https://sociolla.com,1.0,1.0,9.0,3.0,13.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,10.0,26.0,86.0,96.0,92.0,87.0,4.465908118654584,2.3978952727983707,9.591663046625438,0.0
https://uniqlo.com/,1.0,1.0,3.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,27.0,88.25,50.0,92.0,64.0,4.491441420659749,0.0,9.591663046625438,0.0
https://universitaspertamina.ac.id/,0.0,0.0,1.0,1.0,1.0,0,0.0,3.0,17.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,32.484375,79.234375,78.5,89.328125,87.0,4.384952039002987,7.599901959208498,9.451355722857965,0.0
https://www.antaranews.com,1.0,1.0,7.0,8.0,1.0,0,0.0,17.0,445.0,416.0,0.0,10.0,1,1.0,1.0,1.0,1997.0,27.0,72.0,100.0,85.3203125,67.0,4.290459441148391,7.599901959208498,9.236899506869175,0.0
https://www.ciputrahospital.com ,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,83.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://www.cnnindonesia.com,1.0,1.0,7.0,9.0,13.0,1,1.0,28.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,510.0,45.052734375,73.0,50.0,92.0,60.0,4.304065093204169,6.236369590203704,9.591663046625438,0.0
https://www.dephub.go.id,1.0,1.0,3.0,7.0,8.0,1,0.0,6.0,0.0,4.0,2.0,0.0,1,1.0,1.0,1.0,787.0,14.568359375,73.0,96.0,85.3203125,32.0,4.304065093204169,6.669498089857879,9.236899506869175,0.7914539221291278
https://www.detik.com,1.0,1.0,8.0,7.0,13.0,1,1.0,35.0,96.0,10.0,0.0,0.0,1,1.0,1.0,1.0,1804.0,20.0,70.25,68.0,92.0,53.0,4.26619481914876,7.498315870766981,9.591663046625438,0.0
https://www.esdm.go.id,1.0,1.0,4.0,1.0,3.0,0,0.0,0.0,9.0,17.0,7.379032258064516,0.0,1,1.0,1.0,1.0,1285.0,32.484375,79.234375,78.5,89.328125,56.0,4.384952039002987,7.1592919047975645,9.451355722857965,1.1678455571486808
https://www.gramedia.com/,1.0,1.0,5.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,1.0,6.0,22.0,75.0,79.0,92.0,79.0,4.330733340286331,1.9459101490553132,9.591663046625438,0.0
https://www.ipb.ac.id,1.0,1.0,1.0,1.0,1.0,1,0.0,4.0,7.0,16.0,0.0,6.0,1,1.0,1.0,1.0,850.0,14.568359375,87.0,54.0,85.3203125,54.0,4.477336814478207,6.7464121285733745,9.236899506869175,0.0
https://www.itb.ac.id,0.0,1.0,2.0,1.0,11.0,0,1.0,6.0,32.0,8.0,0.0,0.0,1,1.0,1.0,1.0,614.0,32.484375,79.234375,78.5,89.328125,86.0,4.384952039002987,6.421622267806518,9.451355722857965,0.0
https://www.its.ac.id,1.0,1.0,6.0,3.0,5.0,1,1.0,3.0,13.0,6.0,7.379032258064516,8.0,1,1.0,1.0,1.0,629.0,37.0,79.0,56.99999999999999,92.0,64.0,4.382026634673881,6.4457198193855785,9.591663046625438,1.1678455571486808
https://www.jombangkab.go.id/,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,45.052734375,77.0,96.0,92.0,65.0,4.356708826689592,6.958923565556536,9.591663046625438,0.917486315399732
https://www.kemdikbud.go.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,86.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://www.kemendag.go.id,1.0,1.0,5.0,1.0,5.0,0,0.0,0.0,7.0,0.0,7.379032258064516,14.0,1,1.0,1.0,1.0,1147.0,32.484375,79.234375,78.5,89.328125,28.0,4.384952039002987,7.045776576879511,9.451355722857965,1.1678455571486808
https://www.kemenkumham.go.id,1.0,1.0,6.0,1.0,2.0,0,0.0,3.0,2.0,10.0,2.0,1.0,1,1.0,1.0,1.0,1088.0,18.0,71.0,96.0,85.3203125,42.0,4.276666119016055,6.9930151229329605,9.236899506869175,0.7914539221291278
https://www.kemenparekraf.go.id,1.0,1.0,4.0,1.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,103.0,35.0,82.0,79.0,92.0,77.0,4.418840607796598,4.6443908991413725,9.591663046625438,0.0
https://www.kemensos.go.id,1.0,1.0,3.0,1.0,20.0,0,0.0,5.0,0.0,43.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,20.0,75.0,89.0,92.0,37.0,4.330733340286331,7.599901959208498,9.591663046625438,0.0
https://www.kemkes.go.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,38.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://www.kkp.go.id,1.0,1.0,5.0,1.0,1.0,0,5.0,0.0,2.0,0.0,0.0,0.0,1,1.0,1.0,1.0,709.0,32.0,74.0,96.0,91.0,44.0,4.31748811353631,6.565264970035361,9.539392014169456,0.0
https://www.liputan6.com,1.0,1.0,10.0,6.0,10.0,1,1.0,4.0,10.0,86.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,23.0,85.0,50.0,92.0,61.0,4.454347296253507,7.599901959208498,9.591663046625438,0.0
https://www.matahari.com,1.0,1.0,9.0,1.0,1.0,1,0.0,0.0,16.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,19.0,70.25,68.0,85.3203125,78.0,4.26619481914876,7.599901959208498,9.236899506869175,0.0
https://www.pertanian.go.id,1.0,1.0,3.0,1.0,1.0,0,0.0,3.0,4.0,38.0,1.0,1.0,1,1.0,1.0,1.0,834.0,32.484375,79.234375,78.5,89.328125,66.0,4.384952039002987,6.727431724850855,9.451355722857965,0.5609757981258847
https://www.pu.go.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,70.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://www.republika.co.id,1.0,1.0,1.0,4.0,5.0,1,1.0,5.0,73.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,39.0,74.0,54.0,92.0,61.0,4.31748811353631,7.599901959208498,9.591663046625438,0.0
https://www.rspondokindah.co.id,1.0,1.0,9.0,4.0,1.0,1,0.0,6.0,30.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1565.0,45.052734375,78.0,96.0,92.0,61.0,4.3694478524670215,7.356279876550748,9.591663046625438,0.0
https://www.rspondokindah.co.id/id,1.0,1.0,9.0,4.0,1.0,1,0.0,6.0,30.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1565.0,16.0,78.0,96.0,92.0,48.0,4.3694478524670215,7.356279876550748,9.591663046625438,0.0
https://www.rssemengresik.com,1.0,1.0,4.0,1.0,1.0,0,0.0,0.0,0.0,4.0,0.0,6.0,1,1.0,1.0,1.0,194.0,44.0,88.25,96.0,92.0,97.0,4.491441420659749,5.272999558563747,9.591663046625438,0.0
https://www.setneg.go.id,1.0,1.0,3.0,2.0,6.0,0,6.0,0.0,8.0,17.0,7.379032258064516,3.0,1,1.0,1.0,1.0,725.0,45.052734375,75.0,89.0,85.3203125,54.0,4.330733340286331,6.587550014824796,9.236899506869175,1.1678455571486808
https://www.sidoarjokab.go.id/,1.0,1.0,7.0,1.0,5.0,0,1.0,12.0,30.0,1.0,7.379032258064516,0.0,1,1.0,1.0,1.0,1997.0,32.484375,79.234375,78.5,89.328125,43.0,4.384952039002987,7.599901959208498,9.451355722857965,1.1678455571486808
https://www.siloamhospitals.com,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,17.0,78.0,50.0,92.0,57.0,4.3694478524670215,6.958923565556536,9.591663046625438,0.917486315399732
https://www.suara.com,1.0,1.0,8.0,2.0,13.0,1,1.0,76.0,11.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,32.484375,79.234375,78.5,89.328125,76.0,4.384952039002987,7.599901959208498,9.451355722857965,0.0
https://www.traveloka.com,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,36.0,78.0,96.0,92.0,87.0,4.3694478524670215,0.0,9.591663046625438,0.0
https://www.ub.ac.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,31.0,88.25,75.0,92.0,81.0,4.491441420659749,6.958923565556536,9.591663046625438,0.917486315399732
https://www.ugm.ac.id,1.0,1.0,4.0,6.0,1.0,1,1.0,9.0,56.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1127.0,32.484375,79.234375,78.5,89.328125,68.0,4.384952039002987,7.028201432058005,9.451355722857965,0.0
https://www.um.ac.id,1.0,1.0,3.0,1.0,1.0,1,0.0,6.0,21.0,0.0,0.0,0.0,1,1.0,1.0,1.0,558.0,14.568359375,80.0,68.0,85.3203125,61.0,4.394449154672439,6.326149473155099,9.236899506869175,0.0
https://www.unair.ac.id,1.0,1.0,6.0,6.0,1.0,1,11.0,16.0,6.0,16.0,7.379032258064516,0.0,1,1.0,1.0,1.0,870.0,29.0,82.0,96.0,92.0,69.0,4.418840607796598,6.769641976852503,9.591663046625438,1.1678455571486808
https://www.unand.ac.id,0.0,1.0,3.0,6.0,1.0,0,0.0,0.0,24.0,14.0,0.0,0.0,1,1.0,1.0,1.0,632.0,32.484375,79.234375,78.5,89.328125,55.0,4.384952039002987,6.450470422144176,9.451355722857965,0.0
https://www.undip.ac.id,1.0,1.0,6.0,4.0,1.0,1,0.0,14.0,20.0,0.0,0.0,0.0,1,1.0,1.0,1.0,780.0,43.0,88.25,93.0,92.0,65.0,4.491441420659749,6.660575149839686,9.591663046625438,0.0
https://www.unhas.ac.id,1.0,1.0,3.0,1.0,1.0,1,2.0,20.0,0.0,2.0,0.0,0.0,1,1.0,1.0,1.0,551.0,45.052734375,86.0,96.0,92.0,80.0,4.465908118654584,6.313548046277095,9.591663046625438,0.0
https://www.unnes.ac.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,30.0,88.25,100.0,85.3203125,94.0,4.491441420659749,6.958923565556536,9.236899506869175,0.917486315399732
https://www.unud.ac.id,1.0,1.0,3.0,3.0,26.0,0,0.0,4.0,0.0,6.0,0.0,0.0,1,1.0,1.0,1.0,444.0,15.0,76.0,100.0,92.0,81.0,4.343805421853684,6.09807428216624,9.591663046625438,0.0
https://www.uny.ac.id,0.0,1.0,4.0,1.0,1.0,0,1.0,5.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,538.0,45.052734375,78.0,68.0,85.3203125,67.0,4.3694478524670215,6.289715570908998,9.236899506869175,0.0
https://www.upi.edu,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,26.0,77.0,89.0,85.3203125,65.0,4.356708826689592,6.958923565556536,9.236899506869175,0.917486315399732
https://www.upnjatim.ac.id/,1.0,1.0,5.0,1.0,1.0,1,0.0,17.0,3.0,6.0,3.0,0.0,1,1.0,1.0,1.0,802.0,32.484375,79.234375,78.5,89.328125,58.0,4.384952039002987,6.688354713946762,9.451355722857965,0.922562313372262
https://www.upnyk.ac.id,0.0,0.0,4.0,1.0,26.0,0,0.0,3.0,4.0,14.0,2.0,0.0,1,1.0,1.0,1.0,1530.0,31.0,70.25,100.0,91.0,67.67088607594937,4.26619481914876,7.333676395657684,9.539392014169456,0.7914539221291278
https://www.upnyk.ac.id/,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,55.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://zalora.co.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.0,79.0,54.0,92.0,88.0,4.382026634673881,6.958923565556536,9.591663046625438,0.917486315399732
